make_model_ordinal,price,type_ordinal,warranty_ordinal,mileage,gearbox_ordinal,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,comfort_&_convenience,entertainment_&_media,safety_&_security,empty_weight,general_inspection,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,Compact,Convertible,Coupe,Off-Road/Pick-up,Sedan,Station wagon
0,16950.0,0,0,120200.0,0,1,1,1595.0,5.0,98.0,1,Standard,Standard,Safety Premium Package,1270.0,New,0,No,Euro 6,0,2.0,1,6.0,75.0,3.8,1,0,0,0,0,0
1,80900.0,1,0,5000.0,1,3,1,1.0,1.0,0.0,2,Premium,Plus,Safety Premium Package,2355.0,New,0,No,Euro 6,1,1.0,1,0.0,215.0,2.359,1,0,0,0,0,0
2,69900.0,0,0,18900.0,1,0,1,1991.0,8.0,162.0,2,Standard,Standard,Safety Premium Plus Package,1555.0,Not_passed,0,No,Euro 6,1,2.0,0,2.0,310.0,8.4,1,0,0,0,0,0
3,46990.0,0,0,18995.0,1,0,1,1991.0,7.0,169.0,2,Standard,Standard,Safety Premium Package,1455.0,Not_passed,0,No,Euro 6,1,2.0,0,2.0,225.0,7.3,1,0,0,0,0,0
2,16800.0,0,0,197000.0,1,1,1,2143.0,7.0,162.0,2,Standard,Standard,Safety Premium Plus Package,1545.0,New,0,No,Euro 6,1,2.0,0,7.0,100.0,4.9,1,0,0,0,0,0
4,4690.0,0,1,165000.0,0,0,1,1799.0,6.0,196.0,0,Standard,Standard,Safety Premium Package,1465.0,New,1,Yes,Euro 4,0,2.0,1,17.0,90.0,8.2,1,0,0,0,0,0
5,22550.0,0,0,83339.0,0,1,1,1595.0,6.0,134.0,1,Standard,Plus,Safety Premium Package,1410.0,New,0,No,Euro 6,1,3.0,0,4.0,90.0,6.1,1,0,0,0,0,0
6,26900.0,0,0,48900.0,1,0,1,1991.0,7.0,141.0,1,Standard,Standard,Safety Premium Package,1450.0,New,0,No,Euro 6,1,2.0,1,3.0,140.0,6.1,1,0,0,0,0,0
3,44999.0,0,1,56876.0,1,0,1,1991.0,7.0,168.0,2,Standard,Standard,Safety Premium Plus Package,1455.0,New,0,No,Euro 6,1,2.0,0,3.0,225.0,0.0,1,0,0,0,0,0
7,23900.0,0,0,21854.0,1,1,1,1991.0,1.0,101.5,1,Standard,Standard,Safety Premium Plus Package,1365.0,New,0,No,Euro 6,1,3.0,1,4.0,102.0,5.4,1,0,0,0,0,0
0,14200.0,0,0,99016.0,0,1,1,1461.0,5.0,98.0,1,Standard,Standard,Safety Premium Package,1295.0,New,0,No,Euro 6,0,2.0,1,7.0,66.0,3.8,1,0,0,0,0,0
2,37999.0,0,0,90000.0,1,0,1,1991.0,7.0,162.0,2,Standard,Standard,Safety Standard Package,1555.0,New,0,No,Euro 6,1,2.0,0,6.0,280.0,6.9,1,0,0,0,0,0
8,23999.0,0,0,25914.0,1,0,1,1991.0,7.0,22.0,1,Standard,Standard,Safety Premium Plus Package,1445.0,New,0,No,Euro 6,0,2.0,1,9.0,155.0,6.0,1,0,0,0,0,0
9,24400.0,0,0,27150.0,0,1,1,1461.0,6.0,120.0,1,Standard,Plus,Safety Premium Package,1330.0,Not_passed,0,No,Euro 6,1,2.0,0,2.0,85.0,4.5,1,0,0,0,0,0
2,16999.0,0,0,210000.0,1,1,1,2143.0,7.0,162.0,2,Standard,Standard,Safety Premium Plus Package,1545.0,New,0,No,Euro 6,1,2.0,0,6.0,100.0,4.9,1,0,0,0,0,0
9,7450.0,0,1,157500.0,0,1,1,1991.0,7.0,138.0,1,Premium,Standard,Safety Premium Plus Package,1295.0,New,1,Yes,Euro 4,0,2.0,0,12.0,80.0,5.2,1,0,0,0,0,0
8,38999.0,0,0,21496.0,1,0,1,1332.0,7.0,22.0,1,Standard,Standard,Safety Premium Package,1680.0,Not_passed,0,No,Euro 6,0,1.0,1,1.0,118.0,0.0,1,0,0,0,0,0
3,41900.0,0,0,44000.0,1,0,1,1991.0,7.0,169.0,2,Standard,Standard,Safety Premium Package,1455.0,New,0,No,Euro 6,1,2.0,0,3.0,225.0,7.3,1,0,0,0,0,0
9,29800.0,0,0,21734.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1445.0,Not_passed,0,No,Euro 6,0,2.0,0,2.0,85.0,3.9,1,0,0,0,0,0
2,37490.0,0,0,81500.0,1,0,1,1991.0,7.0,162.0,2,Standard,Standard,Safety Standard Package,1555.0,New,0,No,Euro 6,1,2.0,0,6.0,280.0,6.9,1,0,0,0,0,0
9,21000.0,0,0,172700.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,0,3.0,0,4.0,80.0,3.7,1,0,0,0,0,0
9,26800.0,0,0,18989.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1455.0,Not_passed,0,No,Euro 6,0,2.0,0,2.0,85.0,3.9,1,0,0,0,0,0
9,32900.0,1,0,25.0,0,0,1,1332.0,6.0,126.0,1,Standard,Standard,Safety Premium Package,1350.0,New,0,No,Euro 6,0,1.0,0,1.0,100.0,0.0,1,0,0,0,0,0
7,32950.0,0,1,24244.0,0,0,1,1332.0,7.0,140.0,1,Standard,Standard,Safety Premium Package,1275.0,New,0,No,Euro 6,1,2.0,1,3.0,120.0,6.1,1,0,0,0,0,0
10,64900.0,0,0,6589.0,1,1,1,1950.0,6.0,132.0,2,Standard,Standard,Safety Standard Package,1845.0,New,0,No,Euro 6,1,1.0,1,1.0,143.0,5.0,1,0,0,0,0,0
9,21000.0,0,0,172700.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,0,3.0,0,4.0,80.0,3.7,1,0,0,0,0,0
2,67900.0,0,0,6564.0,1,0,1,1991.0,8.0,162.0,2,Standard,Standard,Safety Premium Plus Package,1555.0,New,0,No,Euro 6,1,1.0,0,1.0,310.0,8.4,1,0,0,0,0,0
0,13999.0,0,1,128644.0,0,1,1,1461.0,5.0,98.0,1,Standard,Standard,Safety Premium Plus Package,1270.0,New,0,No,Euro 5,0,2.0,1,8.0,66.0,3.8,1,0,0,0,0,0
